reporting_unit_code,name,private,closed,latitude,longitude,lhn_code,lhn_name,phn_code,phn_name
H0485,Collinsville Hospital,False,False,-20.546108,147.838146,LHN314,Mackay,PHN307,Northern Queensland
H0486,Home Hill Hospital,False,False,-19.661764,147.416759,LHN313,Townsville,PHN307,Northern Queensland
H0487,Ingham Hospital,False,False,-18.652293,146.164222,LHN313,Townsville,PHN307,Northern Queensland
H0488,Joyce Palmer Health Service,False,False,-18.732733,146.578731,LHN313,Townsville,PHN307,Northern Queensland
H0489,Townsville University Hospital,False,False,-19.320683,146.762092,LHN313,Townsville,PHN307,Northern Queensland
H0490,Royal Brisbane & Women's Hospital,False,False,-27.446972,153.027888,LHN320,Metro North (Qld),PHN301,Brisbane North
H0491,Atherton Hospital,False,False,-17.266635,145.483177,LHN312,Cairns and Hinterland,PHN307,Northern Queensland
H0492,Babinda Hospital,False,False,-17.343079,145.918908,LHN312,Cairns and Hinterland,PHN307,Northern Queensland
H0493,Bamaga Hospital,False,False,-10.893996,142.385131,LHN327,Torres and Cape,PHN307,Northern Queensland
H0494,Cairns Hospital,False,False,-16.912537,145.768522,LHN312,Cairns and Hinterland,PHN307,Northern Queensland
H0496,Cooktown Hospital,False,False,-15.478067,145.249616,LHN327,Torres and Cape,PHN307,Northern Queensland
H0500,Gordonvale Hospital,False,False,-17.087337,145.786159,LHN312,Cairns and Hinterland,PHN307,Northern Queensland
H0501,Herberton Hospital,False,False,-17.379371,145.38175,LHN312,Cairns and Hinterland,PHN307,Northern Queensland
H0502,Innisfail Hospital,False,False,-17.518939,146.030049,LHN312,Cairns and Hinterland,PHN307,Northern Queensland
H0503,Mareeba Hospital,False,False,-16.987117,145.424468,LHN312,Cairns and Hinterland,PHN307,Northern Queensland
H0504,Mossman Hospital,False,False,-16.464031,145.368025,LHN312,Cairns and Hinterland,PHN307,Northern Queensland
H0506,Thursday Island Hospital,False,False,-10.588,142.21156,LHN327,Torres and Cape,PHN307,Northern Queensland
