reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0692,Leonora Hospital,False,-28.894319,121.337492,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0693,Norseman Hospital,False,-32.198566,121.767663,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0694,Albany Hospital,False,-35.003407,117.904468,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0695,Denmark Hospital and Health Service,False,-34.955911730999226,117.3578578079285,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0696,Katanning Hospital,False,-33.683032,117.563409,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0697,Gnowangerup Hospital,False,-33.930469,118.002927,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0698,Plantagenet Hospital,False,-34.626092,117.654561,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0699,Ravensthorpe Health Centre,False,-33.584918,120.045461,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0700,Kojonup Hospital,False,-33.829481,117.152903,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0701,Augusta Hospital,False,-34.305814,115.157983,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0702,Bunbury Hospital,False,-33.366986,115.648183,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0703,Busselton Health Campus,False,-33.654351,115.319581,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0704,Collie Hospital,False,-33.351403,116.162223,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0705,Margaret River Hospital,False,-33.952162,115.071229,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0706,Donnybrook Hospital,False,-33.576942,115.816547,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0707,Harvey Hospital,False,-33.077554,115.896749,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0708,Nannup Hospital,False,-33.982797,115.76723,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0709,Pemberton Hospital,False,-34.444875,116.031954,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0710,Boyup Brook Soldiers Memorial Hospital,False,-33.839231,116.390639,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0711,Warren Hospital,False,-34.240969,116.154112,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0712,Bridgetown Hospital,False,-33.951681,116.132183,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H0713,Graylands Selby-Lemnos and Special Care Health Service,False,-31.961447,115.790855,North Metropolitan Health Service (WA),Perth North,,health.wa.gov.au,unknown,lhn:north metropolitan health service (wa),True
H0746,Fiona Stanley Hospital,False,-32.07012,115.846909,South Metropolitan Health Service (WA),Perth South,,health.wa.gov.au,unknown,lhn:south metropolitan health service (wa),True
H0747,St John of God Midland Public Hospital,False,-31.8948318,116.008852,East Metropolitan Health Service (WA),Perth North,,health.wa.gov.au,unknown,lhn:east metropolitan health service (wa),True
H0751,Perth Children's Hospital,False,-31.969503,115.817165,Child Adolescent Health Service (WA),Perth North,,health.wa.gov.au,unknown,lhn:child adolescent health service (wa),True
H0752,Karratha Health Campus,False,-20.732208,116.839511,WA Country Health Service,Country WA,,health.wa.gov.au,unknown,lhn:wa country health service,True
H1063,St James Transitional Care Unit,False,-31.99598590315838,115.91010368689118,East Metropolitan Health Service (WA),Perth South,,health.wa.gov.au,unknown,lhn:east metropolitan health service (wa),True
H5011,Attadale Rehabilitation Hospital,True,-32.029729,115.810669,,,,,private,,False
H5021,Bethesda Hospital,True,-31.986967,115.778484,,,,,private,,False
H5055,Colin Street Day Hospital,True,-31.949358,115.841569,,,,,private,,False
H5085,Glengarry Private Hospital,True,-31.834253,115.784826,,,,,private,,False
H5094,Hollywood Private Hospital,True,-31.969693,115.809148,,,,,private,,False
H5103,Joondalup Health Campus (Private),True,-31.738788,115.77034,,,,,private,,False
H5131,St John of God Mt Lawley Hospital,True,-31.936721,115.884926,,,,sjog.org.au,private,operator_kw:st john of god,True
H5142,Mount Hospital,True,-31.958534,115.845401,,,,,private,,False
H5162,Oxford Day Surgery and Dermatology,True,-31.922727,115.841536,,,,,private,,False
H5169,Perth Clinic,True,-31.950874,115.843266,,,,,private,,False
H5195,St John of God Bunbury Hospital,True,-33.365947,115.648869,,,,sjog.org.au,private,operator_kw:st john of god,True
H5198,St John of God Geraldton Hospital,True,-28.784383,114.616439,,,,sjog.org.au,private,operator_kw:st john of god,True
H5199,St John of God Murdoch Hospital,True,-32.067919,115.844659,,,,sjog.org.au,private,operator_kw:st john of god,True
H5201,St John of God Subiaco Hospital,True,-31.941246,115.826282,,,,sjog.org.au,private,operator_kw:st john of god,True
H5214,Subiaco Private Hospital,True,-31.9434,115.826,,,,,private,,False
H5247,Waikiki Private Hospital,True,-32.310552,115.763147,,,,,private,,False
H5258,Westminster Day Surgery,True,-31.862769,115.829163,,,,,private,,False
