reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0079,Glen Innes Hospital,False,-29.733293,151.731673,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0080,Gunnedah Hospital,False,-30.983146,150.251339,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0081,Guyra Multi Purpose Service,False,-30.213889,151.679112,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0082,Inverell Hospital,False,-29.770728,151.130139,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0083,Manilla Hospital,False,-30.745717,150.732249,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0084,Moree Hospital,False,-29.470678,149.839648,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0085,Narrabri Hospital,False,-30.325869,149.777108,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0086,Tenterfield Hospital,False,-29.045083,152.013552,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0087,Quirindi Hospital,False,-31.500345,150.676621,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0088,Tamworth Hospital,False,-31.074079,150.924199,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0089,Tingha Multi Purpose Service,False,-29.950779,151.206732,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0090,Vegetable Creek Multi Purpose Service Emmaville,False,-29.450547,151.599204,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0091,Walcha Multi Purpose Service,False,-30.987818,151.591415,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0092,Warialda Multi Purpose Service,False,-29.538835,150.579567,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0093,Wee Waa Hospital,False,-30.225439,149.448287,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0094,Werris Creek Hospital,False,-31.346691,150.652513,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0095,Bulahdelah Hospital,False,-32.403949,152.210029,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0096,Gloucester Soldiers' Memorial Hospital,False,-32.014787,151.958556,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0097,Manning Hospital,False,-31.910418,152.454485,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0098,Wingham Hospital,False,-31.878104,152.365179,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0099,Cessnock Hospital,False,-32.827754,151.348396,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0100,Dungog Hospital,False,-32.401948,151.746157,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0101,Kurri Kurri Hospital,False,-32.825017,151.463018,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0102,Maitland Hospital,False,-32.726723,151.545887,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0103,Merriwa Multi Purpose Service,False,-32.142714,150.361316,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0104,Muswellbrook Hospital,False,-32.264545,150.900263,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0105,Denman Multi Purpose Service,False,-32.389483,150.684453,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0106,Calvary Mater Newcastle,False,-32.899371,151.720858,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
H0107,Belmont Hospital,False,-33.024631,151.648181,Hunter New England,Hunter New England and Central Coast,,health.nsw.gov.au,unknown,lhn:hunter new england,True
