reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0456,Emerald Hospital,False,-23.514826,148.154989,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",,health.qld.gov.au,unknown,lhn:central queensland,True
H0457,Gladstone Hospital,False,-23.850654,151.248532,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",,health.qld.gov.au,unknown,lhn:central queensland,True
H0458,Mount Morgan Hospital,False,-23.645094,150.392639,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",,health.qld.gov.au,unknown,lhn:central queensland,True
H0459,Moura Hospital,False,-24.575948,149.975999,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",,health.qld.gov.au,unknown,lhn:central queensland,True
H0460,Rockhampton Hospital,False,-23.379525,150.494542,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",,health.qld.gov.au,unknown,lhn:central queensland,True
H0461,Springsure Hospital,False,-24.120122,148.084762,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",,health.qld.gov.au,unknown,lhn:central queensland,True
H0462,Theodore Hospital,False,-24.943109,150.075277,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",,health.qld.gov.au,unknown,lhn:central queensland,True
H0463,Capricorn Coast Hospital,False,-23.143888,150.734519,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",,health.qld.gov.au,unknown,lhn:central queensland,True
H0464,Woorabinda Hospital,False,-24.13149167,149.4559833,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",,health.qld.gov.au,unknown,lhn:central queensland,True
H0466,Barcaldine Hospital,False,-23.553316,145.293674,Central West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:central west (qld),True
H0467,Blackall Hospital,False,-24.422705,145.449349,Central West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:central west (qld),True
H0470,Longreach Hospital,False,-23.439033,144.260873,Central West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:central west (qld),True
H0473,Winton Hospital,False,-22.381189,143.040672,Central West (Qld),Western Queensland,,health.qld.gov.au,unknown,lhn:central west (qld),True
H0476,Clermont Hospital,False,-22.826219,147.632174,Mackay,Northern Queensland,,health.qld.gov.au,unknown,lhn:mackay,True
H0477,Mackay Base Hospital,False,-21.145792,149.155325,Mackay,Northern Queensland,,health.qld.gov.au,unknown,lhn:mackay,True
