reporting_unit_code,name,private,closed,latitude,longitude,lhn_code,lhn_name,phn_code,phn_name
H0369,Werribee Mercy Hospital,False,False,-37.886587,144.698621,LHN267,Mercy Public Hospital Inc. (Vic),PHN201,North Western Melbourne
H0370,Orygen Inpatient Unit,False,False,-37.791926,144.886617,LHN225,Melbourne Health,PHN201,North Western Melbourne
H0371,Royal Melbourne Hospital [City Campus],False,False,-37.799259,144.956864,LHN225,Melbourne Health,PHN201,North Western Melbourne
H0372,Royal Melbourne Hospital [Royal Park Campus],False,False,-37.778813,144.948049,LHN225,Melbourne Health,PHN201,North Western Melbourne
H0373,Sunshine Hospital,False,False,-37.759179,144.816477,LHN209,Western Health (Vic),PHN201,North Western Melbourne
H0374,St Vincent's Hospital [Melbourne],False,False,-37.806545,144.975231,LHN262,St Vincent's Hospital (Melbourne) Limited,PHN201,North Western Melbourne
H0375,Williamstown Hospital,False,False,-37.863576,144.892339,LHN209,Western Health (Vic),PHN201,North Western Melbourne
H0376,Peter MacCallum Cancer Centre,False,False,-37.80001,144.956607,LHN264,Peter MacCallum Cancer Institute (Vic),PHN201,North Western Melbourne
H0377,Tweddle Child & Family Health Centre [Footscray],False,False,-37.797407,144.887421,LHN298,Tweddle Child and Family Health Service,PHN201,North Western Melbourne
H0378,Sunbury Day Hospital,False,False,-37.576998,144.732674,LHN209,Western Health (Vic),PHN201,North Western Melbourne
H0379,Broadmeadows Health Service,False,False,-37.684321,144.913106,LHN226,Northern Health (Vic),PHN201,North Western Melbourne
H0380,Craigieburn Health Service,False,False,-37.596015,144.91928,LHN226,Northern Health (Vic),PHN201,North Western Melbourne
H0381,The Royal Dental Hospital of Melbourne,False,False,-37.799299,144.964529,LHN998,Unknown,PHN201,North Western Melbourne
H0383,Victorian Institute of Forensic Mental Health,False,False,-37.78931,145.012975,LHN227,Victorian Institute of Forensic Mental Health,PHN201,North Western Melbourne
H0384,Victorian Institute of Forensic Mental Health Prison Health Service,False,False,-37.812763,144.950757,LHN227,Victorian Institute of Forensic Mental Health,PHN201,North Western Melbourne
H0749,Women's at Sandringham,False,False,-37.961049,145.018157,LHN224,Royal Women's Hospital (Melbourne),PHN203,South Eastern Melbourne
H1009,Dame Phyllis Frost Centre - Marmak unit,False,False,-37.781307,144.742309,LHN998,Unknown,PHN201,North Western Melbourne
