reporting_unit_code,name,private,closed,latitude,longitude,lhn_code,lhn_name,phn_code,phn_name
H0101,Kurri Kurri Hospital,False,False,-32.825017,151.463018,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0102,Maitland Hospital,False,False,-32.726723,151.545887,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0103,Merriwa Multi Purpose Service,False,False,-32.142714,150.361316,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0104,Muswellbrook Hospital,False,False,-32.264545,150.900263,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0105,Denman Multi Purpose Service,False,False,-32.389483,150.684453,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0106,Calvary Mater Newcastle,False,False,-32.899371,151.720858,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0107,Belmont Hospital,False,False,-33.024631,151.648181,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0108,"Scott Memorial Hospital, Scone",False,False,-32.051525,150.876864,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0109,Singleton Hospital,False,False,-32.567087,151.185736,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0110,"Wilson Memorial Community Hospital, Murrurundi",False,False,-31.770408,150.834764,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0111,Tomaree Community Hospital,False,False,-32.720053,152.158858,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0112,John Hunter Hospital,False,False,-32.922177,151.692438,LHN109,Hunter New England,PHN108,Hunter New England and Central Coast
H0113,Ballina District Hospital,False,False,-28.863525,153.564013,LHN111,Northern NSW,PHN109,North Coast
H0116,Casino and District Memorial Hospital,False,False,-28.859839,153.035827,LHN111,Northern NSW,PHN109,North Coast
H0117,Bonalbo Hospital,False,False,-28.733777,152.622789,LHN111,Northern NSW,PHN109,North Coast
H0118,Grafton Base Hospital,False,False,-29.674807,152.941274,LHN111,Northern NSW,PHN109,North Coast
H0119,Kyogle Multi Purpose Service,False,False,-28.627124,153.001742,LHN111,Northern NSW,PHN109,North Coast
H0120,Lismore Base Hospital,False,False,-28.809191,153.291045,LHN111,Northern NSW,PHN109,North Coast
H0121,Nimbin Multi Purpose Service,False,False,-28.597371,153.223185,LHN111,Northern NSW,PHN109,North Coast
H0122,Maclean District Hospital,False,False,-29.454219,153.201094,LHN111,Northern NSW,PHN109,North Coast
H0124,Murwillumbah District Hospital,False,False,-28.323417,153.400811,LHN111,Northern NSW,PHN109,North Coast
H0125,The Tweed Hospital,False,False,-28.177216,153.545458,LHN111,Northern NSW,PHN109,North Coast
H0126,Urbenville Multi Purpose Service,False,False,-28.471511,152.543029,LHN111,Northern NSW,PHN109,North Coast
H0127,Riverlands Drug and Alcohol Centre,False,False,-28.80834,153.29112,LHN111,Northern NSW,PHN109,North Coast
H0128,Bellinger River District Hospital,False,False,-30.457256,152.893209,LHN110,Mid North Coast,PHN109,North Coast
H0129,Coffs Harbour Hospital,False,False,-30.317579,153.093667,LHN110,Mid North Coast,PHN109,North Coast
H0130,Dorrigo Multi Purpose Service,False,False,-30.340625,152.713882,LHN110,Mid North Coast,PHN109,North Coast
H0131,Kempsey District Hospital,False,False,-31.067841,152.820038,LHN110,Mid North Coast,PHN109,North Coast
H0132,Macksville District Hospital,False,False,-30.713725,152.919838,LHN110,Mid North Coast,PHN109,North Coast
H0133,Wauchope District Memorial Hospital,False,False,-31.457239,152.728131,LHN110,Mid North Coast,PHN109,North Coast
H0134,Port Macquarie Base Hospital,False,False,-31.452336,152.878304,LHN110,Mid North Coast,PHN109,North Coast
H0135,Batemans Bay Hospital,False,False,-35.714055,150.182375,LHN113,Southern NSW,PHN106,South Eastern NSW
H0136,South East Regional Hospital,False,False,-36.68905,149.858549,LHN113,Southern NSW,PHN106,South Eastern NSW
H0137,Bombala Multi Purpose Service,False,False,-36.917513,149.235372,LHN113,Southern NSW,PHN106,South Eastern NSW
H0138,Braidwood Multi Purpose Service,False,False,-35.443216,149.805302,LHN113,Southern NSW,PHN106,South Eastern NSW
H0139,Cooma Hospital and Health Service,False,False,-36.241389,149.130499,LHN113,Southern NSW,PHN106,South Eastern NSW
H0140,Crookwell District Hospital,False,False,-34.464222,149.467427,LHN113,Southern NSW,PHN106,South Eastern NSW
H0141,Delegate Multi Purpose Service,False,False,-37.04496,148.945958,LHN113,Southern NSW,PHN106,South Eastern NSW
H0142,Goulburn Base Hospital,False,False,-34.747527,149.712806,LHN113,Southern NSW,PHN106,South Eastern NSW
H0143,Moruya Hospital,False,False,-35.904137,150.070774,LHN113,Southern NSW,PHN106,South Eastern NSW
H0144,Pambula Hospital,False,False,-36.926316,149.879232,LHN113,Southern NSW,PHN106,South Eastern NSW
H0145,Queanbeyan Hospital,False,False,-35.347685,149.232294,LHN113,Southern NSW,PHN106,South Eastern NSW
H0146,Bourke Street Health Service,False,False,-34.748721,149.719321,LHN113,Southern NSW,PHN106,South Eastern NSW
H0147,Yass District Hospital,False,False,-34.844072,148.906427,LHN113,Southern NSW,PHN106,South Eastern NSW
H0149,Lake Cargelligo Multi Purpose Service,False,False,-33.292027,146.374304,LHN114,Murrumbidgee,PHN110,Murrumbidgee
H0150,Wyalong Hospital,False,False,-33.916373,147.196483,LHN114,Murrumbidgee,PHN110,Murrumbidgee
