reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0596,Mount Gambier and Districts Health Service,False,-37.805003,140.786662,Limestone Coast,Country SA,,sahealth.sa.gov.au,unknown,lhn:limestone coast,True
H0597,Naracoorte Health Service,False,-36.966849,140.743693,Limestone Coast,Country SA,,sahealth.sa.gov.au,unknown,lhn:limestone coast,True
H0598,Penola War Memorial Hospital,False,-37.382873,140.836465,Limestone Coast,Country SA,,sahealth.sa.gov.au,unknown,lhn:limestone coast,True
H0600,Flinders Medical Centre,False,-35.022229,138.569439,Southern Adelaide,Adelaide,,sahealth.sa.gov.au,unknown,lhn:southern adelaide,True
H0602,Noarlunga Hospital,False,-35.139879,138.500218,Southern Adelaide,Adelaide,,sahealth.sa.gov.au,unknown,lhn:southern adelaide,True
H0603,Gawler Health Service,False,-34.593743,138.755044,Barossa Hills Fleurieu,Country SA,,sahealth.sa.gov.au,unknown,lhn:barossa hills fleurieu,True
H0604,Angaston District Hospital,False,-34.503549,139.054715,Barossa Hills Fleurieu,Country SA,,sahealth.sa.gov.au,unknown,lhn:barossa hills fleurieu,True
H0605,Balaklava Soldiers' Memorial District Hospital,False,-34.139594,138.419596,Yorke and Northern,Country SA,,sahealth.sa.gov.au,unknown,lhn:yorke and northern,True
H0606,Burra Hospital,False,-33.685486,138.934577,Yorke and Northern,Country SA,,sahealth.sa.gov.au,unknown,lhn:yorke and northern,True
H0607,Clare Hospital,False,-33.829588,138.614416,Yorke and Northern,Country SA,,sahealth.sa.gov.au,unknown,lhn:yorke and northern,True
H0608,Eudunda Hospital,False,-34.175482,139.090586,Barossa Hills Fleurieu,Country SA,,sahealth.sa.gov.au,unknown,lhn:barossa hills fleurieu,True
H0609,Kapunda Hospital,False,-34.330289,138.921679,Barossa Hills Fleurieu,Country SA,,sahealth.sa.gov.au,unknown,lhn:barossa hills fleurieu,True
H0610,Central Yorke Peninsula Hospital (Maitland),False,-34.370494,137.673947,Yorke and Northern,Country SA,,sahealth.sa.gov.au,unknown,lhn:yorke and northern,True
H0611,Riverton District Soldiers' Memorial Hospital,False,-34.160353,138.742657,Yorke and Northern,Country SA,,sahealth.sa.gov.au,unknown,lhn:yorke and northern,True
H0612,Snowtown Hospital and Health Service,False,-33.786936,138.212768,Yorke and Northern,Country SA,,sahealth.sa.gov.au,unknown,lhn:yorke and northern,True
H0613,Southern Yorke Peninsula Health Service (Yorketown),False,-35.020989,137.604939,Yorke and Northern,Country SA,,sahealth.sa.gov.au,unknown,lhn:yorke and northern,True
H0614,Tanunda War Memorial Hospital,False,-34.528082,138.960859,Barossa Hills Fleurieu,Country SA,,sahealth.sa.gov.au,unknown,lhn:barossa hills fleurieu,True
H0615,Northern Yorke Peninsula Health Service (Wallaroo),False,-33.927738,137.636783,Yorke and Northern,Country SA,,sahealth.sa.gov.au,unknown,lhn:yorke and northern,True
H0618,Glenside Health Services,False,-34.943429,138.627714,Central Adelaide,Adelaide,,sahealth.sa.gov.au,unknown,lhn:central adelaide,True
H1051,James Nash House,False,-34.849781,138.637283,Northern Adelaide,Adelaide,,sahealth.sa.gov.au,unknown,lhn:northern adelaide,True
H1053,Glenside Rural & Remote,False,-34.943985126600744,138.628775249745,Barossa Hills Fleurieu,Adelaide,,sahealth.sa.gov.au,unknown,lhn:barossa hills fleurieu,True
H5002,Adelaide Day Surgery Pty Ltd,True,-34.922409,138.588817,,,,,private,,False
H5003,Adelaide Eye & Laser Centre,True,-34.94042,138.6215,,,,,private,,False
H5010,Ashford Hospital,True,-34.948142,138.576725,,,,,private,,False
H5035,Calvary Central Districts Hospital,True,-34.75542,138.656221,,,,,private,,False
H5042,Calvary North Adelaide Hospital,True,-34.910003,138.589095,,,,,private,,False
H5079,Flinders Private Hospital,True,-35.020629,138.568089,,,,,private,,False
H5087,Griffith Rehabilitation Hospital,True,-35.010285,138.523859,,,,,private,,False
H5186,SPORTSMED SA Hospital & Day Surgery,True,-34.913521,138.624987,,,,,private,,False
H5187,St Andrew's Hospital,True,-34.934224,138.614963,,,,,private,,False
H5212,Stirling Hospital,True,-35.007274,138.714859,,,,,private,,False
H5232,The Memorial Hospital,True,-34.912733,138.599385,,,,,private,,False
H5254,Western Hospital,True,-34.909971,138.49966,,,,,private,,False
H5260,Adelaide Surgicentre,True,-34.917691,138.621022,,,,,private,,False
H5275,Burnside War Memorial Hospital,True,-34.927126,138.638878,,,,,private,,False
H5277,Glenelg Community Hospital Inc,True,-34.990189,138.512321,,,,,private,,False
H5364,Calvary Adelaide Hospital,True,-34.9276,138.6113,,,,,private,,False
H5373,Brighton Dialysis Clinic,True,-35.008746,138.52224,,,,,private,,False
H5403,Icon Cancer Centre Windsor Gardens,True,-34.86247,138.64977,,,,,private,,False
H5419,North Eastern Community Hospital,True,-34.882549,138.661331,,,,,private,,False
H5422,Northern Endoscopy Centre,True,-34.78167,138.651093,,,,,private,,False
H5426,Payneham Dialysis Clinic,True,-34.896931,138.639603,,,,,private,,False
H5437,Southern Endoscopy Centre,True,-34.999512,138.521179,,,,,private,,False
H5453,Windsor Gardens Day Surgery,True,-34.862469,138.649765,,,,,private,,False
H5470,Icon Cancer Centre Adelaide,True,-34.948662,138.570786,,,,,private,,False
H5511,Ramsay Clinic Adelaide,True,-34.9065815076291,138.61316316975868,,,,,private,,False
H5521,Glenelg Day Surgery,True,-34.978,138.517,,,,,private,,False
